epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.61488,2.86785,4.75515,2.29579,0.00016,0.01786,8e-05,1e-05,2.95684,4.49179,2.34272,8.335e-05,8.335e-05,8.335e-05
2,3.86075,2.67725,4.57152,2.21957,0.00106,0.15038,0.00061,0.00024,2.25196,4.15843,1.79076,0.000181555,0.000181555,0.000181555
3,5.07926,1.94912,3.60717,1.68471,0.00364,0.55545,0.00309,0.00132,1.80578,3.87952,1.45892,0.000277779,0.000277779,0.000277779
4,6.01366,1.818,2.7519,1.46075,0.00442,0.6532,0.00395,0.00189,1.69128,3.68723,1.36114,0.000372023,0.000372023,0.000372023
5,6.81204,1.79475,2.50893,1.42259,0.00545,0.7782,0.00568,0.0021,1.68538,3.68421,1.36106,0.000464286,0.000464286,0.000464286
6,7.61675,1.77522,2.28363,1.40463,0.00518,0.7594,0.00537,0.00184,1.76141,3.59929,1.42902,0.000554569,0.000554569,0.000554569
7,8.41643,1.72983,2.16779,1.41859,0.0051,0.74154,0.18348,0.08619,1.66246,3.43814,1.33325,0.000642872,0.000642872,0.000642872
8,9.22458,1.63329,1.81866,1.32436,0.00538,0.78571,0.35947,0.17589,1.67591,3.421,1.34813,0.000729194,0.000729194,0.000729194
9,10.0451,1.56241,1.9359,1.33699,0.02673,0.31767,0.27059,0.07528,1.87003,3.59351,1.54874,0.000813536,0.000813536,0.000813536
10,10.8487,1.59766,1.85258,1.32998,0.00424,0.62688,0.32793,0.09021,1.91233,3.60977,1.60658,0.000895897,0.000895897,0.000895897
11,11.619,1.58995,1.71518,1.31391,0.0032,0.45959,0.29568,0.07698,1.9657,3.67802,1.63583,0.000976279,0.000976279,0.000976279
12,12.3937,1.59817,1.65531,1.33561,0.00323,0.4765,0.24211,0.0773,1.87495,3.66509,1.5679,0.00105468,0.00105468,0.00105468
13,13.1637,1.52939,1.64059,1.27241,0.36387,0.05265,0.15088,0.0376,2.04296,3.76048,1.69702,0.0011311,0.0011311,0.0011311
14,13.9411,1.60715,1.58352,1.24219,0.63831,0.27256,0.30865,0.08072,1.90591,3.60099,1.6374,0.00120554,0.00120554,0.00120554
15,14.69,1.52127,1.67241,1.29582,0.75932,0.07121,0.17755,0.04691,2.0535,3.59462,1.72881,0.001278,0.001278,0.001278
16,15.4582,1.57087,1.61446,1.26872,0.90431,0.3793,0.50853,0.16479,1.73501,2.9637,1.44799,0.00134848,0.00134848,0.00134848
17,16.2078,1.49246,1.50275,1.26537,0.74615,0.44945,0.60349,0.26238,1.72534,2.51405,1.42855,0.00140295,0.00140295,0.00140295
18,16.9856,1.49167,1.48683,1.22004,0.76073,0.50876,0.63914,0.29977,1.64334,2.43488,1.39803,0.00138644,0.00138644,0.00138644
19,17.738,1.49986,1.4437,1.22906,0.68334,0.53759,0.63237,0.32596,1.68215,2.23467,1.4347,0.00136994,0.00136994,0.00136994
20,18.514,1.51652,1.48179,1.27737,0.60728,0.53759,0.59835,0.24265,1.79172,2.27782,1.4789,0.00135344,0.00135344,0.00135344
21,19.2632,1.46313,1.44009,1.25578,0.57301,0.51128,0.57785,0.20304,1.82934,2.28421,1.50199,0.00133693,0.00133693,0.00133693
22,20.0291,1.47157,1.36988,1.24783,0.62891,0.67225,0.65937,0.35324,1.65376,1.92105,1.41322,0.00132043,0.00132043,0.00132043
23,20.7898,1.42635,1.2285,1.19266,0.57457,0.75359,0.68074,0.38853,1.59421,1.89717,1.36648,0.00130393,0.00130393,0.00130393
24,21.5664,1.46681,1.28436,1.22687,0.62144,0.54923,0.62072,0.2638,1.82781,2.11921,1.51328,0.00128742,0.00128742,0.00128742
25,22.3134,1.44598,1.31555,1.21008,0.70228,0.59195,0.67248,0.29421,1.76449,2.02685,1.52102,0.00127092,0.00127092,0.00127092
26,23.0814,1.42596,1.20781,1.19118,0.68458,0.74034,0.6823,0.37341,1.62939,1.5709,1.44072,0.00125442,0.00125442,0.00125442
27,23.8275,1.4277,1.24064,1.25852,0.69257,0.69013,0.68138,0.37243,1.70408,1.76086,1.46993,0.00123791,0.00123791,0.00123791
28,24.5999,1.49241,1.18989,1.25921,0.7493,0.69812,0.72065,0.38442,1.61479,1.56442,1.40687,0.00122141,0.00122141,0.00122141
29,25.3568,1.43587,1.15439,1.22545,0.78687,0.75867,0.74326,0.37955,1.68717,1.57801,1.45037,0.00120491,0.00120491,0.00120491
30,26.1284,1.4559,1.20857,1.27599,0.76057,0.69096,0.75047,0.34532,1.8149,1.69113,1.52846,0.0011884,0.0011884,0.0011884
31,26.902,1.37208,1.15281,1.20798,0.83942,0.67889,0.75156,0.37854,1.70467,1.57272,1.45428,0.0011719,0.0011719,0.0011719
32,27.7122,1.35736,1.0807,1.19965,0.83523,0.74154,0.81315,0.43958,1.63469,1.28453,1.44167,0.0011554,0.0011554,0.0011554
33,28.4886,1.37545,1.12012,1.24907,0.87066,0.68797,0.80374,0.40495,1.70933,1.33259,1.48347,0.00113889,0.00113889,0.00113889
34,29.2721,1.41525,1.0439,1.18363,0.80565,0.70583,0.7273,0.35845,1.66285,1.35423,1.46095,0.00112239,0.00112239,0.00112239
35,30.0421,1.44467,1.07853,1.21344,0.77272,0.72368,0.74014,0.36976,1.62969,1.3187,1.43822,0.00110589,0.00110589,0.00110589
36,30.8229,1.47948,1.10123,1.24107,0.75977,0.73862,0.70759,0.28545,1.92223,1.49736,1.67965,0.00108938,0.00108938,0.00108938
37,31.5847,1.33976,1.05252,1.20586,0.73821,0.74154,0.75236,0.34579,1.80975,1.3717,1.55995,0.00107288,0.00107288,0.00107288
38,32.3704,1.31088,1.06776,1.15742,0.7876,0.68797,0.76024,0.39738,1.64636,1.24368,1.43109,0.00105638,0.00105638,0.00105638
39,33.1308,1.29059,0.99441,1.1606,0.69602,0.82021,0.76292,0.37792,1.70345,1.25711,1.4769,0.00103987,0.00103987,0.00103987
40,33.9043,1.29628,0.97845,1.17881,0.78401,0.77726,0.78706,0.38123,1.7742,1.20863,1.4899,0.00102337,0.00102337,0.00102337
41,34.6624,1.23315,0.91964,1.14415,0.82574,0.79034,0.81178,0.39003,1.8092,1.23805,1.52504,0.00100687,0.00100687,0.00100687
42,35.454,1.29918,0.95178,1.17277,0.85436,0.81297,0.80567,0.40462,1.83739,1.11233,1.57281,0.000990365,0.000990365,0.000990365
43,36.2167,1.30613,0.94448,1.17992,0.8757,0.82577,0.83082,0.44349,1.75096,1.05134,1.48201,0.000973861,0.000973861,0.000973861
44,37,1.29868,0.96578,1.16061,0.838,0.81297,0.85102,0.43872,1.83523,1.0547,1.53423,0.000957358,0.000957358,0.000957358
45,37.7604,1.22852,0.89446,1.18894,0.83009,0.83878,0.86336,0.44876,1.74338,0.99896,1.45886,0.000940855,0.000940855,0.000940855
46,38.5495,1.26582,0.87782,1.17647,0.83637,0.93417,0.91084,0.48255,1.69526,0.94684,1.47963,0.000924352,0.000924352,0.000924352
47,39.3586,1.2278,0.90195,1.16174,0.81179,0.84868,0.85907,0.46391,1.75808,0.99583,1.50204,0.000907848,0.000907848,0.000907848
48,40.1462,1.27234,0.89636,1.16679,0.77019,0.79511,0.83068,0.39652,1.80896,1.12837,1.56029,0.000891345,0.000891345,0.000891345
49,40.9098,1.23418,0.84686,1.10887,0.78201,0.81297,0.82193,0.43681,1.6721,1.09946,1.48889,0.000874842,0.000874842,0.000874842
50,41.6909,1.31153,0.8659,1.15136,0.71956,0.8431,0.79464,0.40733,1.75453,1.17478,1.53089,0.000858338,0.000858338,0.000858338
51,42.4426,1.18071,0.88035,1.133,0.70051,0.76034,0.74543,0.31434,1.96656,1.20557,1.68734,0.000841835,0.000841835,0.000841835
52,43.2512,1.25235,0.85938,1.14317,0.77092,0.84868,0.80501,0.37579,1.85072,1.13121,1.60344,0.000825332,0.000825332,0.000825332
53,44.0114,1.13685,0.84869,1.15883,0.77119,0.81297,0.81526,0.42319,1.74158,1.06417,1.52447,0.000808828,0.000808828,0.000808828
54,44.7847,1.20323,0.8597,1.18859,0.78789,0.82823,0.81672,0.41748,1.74892,1.08023,1.50978,0.000792325,0.000792325,0.000792325
55,45.5331,1.16481,0.81702,1.08695,0.85743,0.74809,0.81709,0.41303,1.8043,1.10068,1.53331,0.000775822,0.000775822,0.000775822
56,46.2951,1.10948,0.78321,1.10011,0.89854,0.73808,0.82049,0.43586,1.72278,1.13103,1.47052,0.000759318,0.000759318,0.000759318
57,47.0451,1.0858,0.77462,1.09435,0.89668,0.74154,0.8234,0.44131,1.63034,1.05311,1.44187,0.000742815,0.000742815,0.000742815
58,47.8881,1.09159,0.80703,1.10421,0.90301,0.77726,0.83104,0.44145,1.62611,0.98762,1.46238,0.000726312,0.000726312,0.000726312
59,49.1122,1.13202,0.75736,1.08494,0.94234,0.83743,0.8956,0.44983,1.6674,1.00479,1.50356,0.000709809,0.000709809,0.000709809
60,50.255,1.1368,0.83154,1.10363,0.85715,0.83568,0.87057,0.43981,1.70407,1.08291,1.5196,0.000693305,0.000693305,0.000693305
61,51.346,1.08541,0.74232,1.04226,0.88302,0.78571,0.84458,0.44636,1.67939,1.0576,1.508,0.000676802,0.000676802,0.000676802
62,52.5279,1.11882,0.74058,1.06597,0.79447,0.83929,0.83846,0.44175,1.71782,0.98632,1.53291,0.000660299,0.000660299,0.000660299
63,53.4705,1.07729,0.72582,1.09195,0.7716,0.83929,0.83353,0.4402,1.69715,1.00003,1.51552,0.000643795,0.000643795,0.000643795
64,54.2324,1.11781,0.75982,1.109,0.81654,0.85301,0.84798,0.41503,1.72724,1.02314,1.53461,0.000627292,0.000627292,0.000627292
65,54.9783,1.10632,0.74367,1.05053,0.83694,0.82867,0.84745,0.41649,1.76698,1.07436,1.55113,0.000610789,0.000610789,0.000610789
66,55.7432,1.12292,0.76363,1.09501,0.91047,0.7594,0.8349,0.39096,1.8707,1.07063,1.60702,0.000594286,0.000594286,0.000594286
